,Year,Month,Day,Trial,Abalation,Darkness,Flow,Fish,Tailbeat Num,Heading,Speed,TB_Frequency
2,2021,10,06,34,Y,N,2,individual1,2,17.301824251767005,0.0637113335011058,0.7792207792207793
3,2021,10,06,34,Y,N,2,individual1,3,,,0.7792207792207793
4,2021,10,06,34,Y,N,2,individual1,4,,,0.894565960355434
5,2021,10,06,34,Y,N,2,individual1,5,-26.99786590413046,0.03165811998993591,1.875
6,2021,10,06,34,Y,N,2,individual1,6,-66.69148191782449,0.019275184244787767,2.664473684210526
7,2021,10,06,34,Y,N,2,individual1,7,-130.77855010066023,0.011992564425779933,3.026315789473684
8,2021,10,06,34,Y,N,2,individual1,8,-133.98313865944982,0.017249193695977424,2.825077399380805
9,2021,10,06,34,Y,N,2,individual1,9,-159.32948450694514,0.024556924198237587,2.420405711381175
10,2021,10,06,34,Y,N,2,individual1,10,,,0.8955223880597017
11,2021,10,06,34,Y,N,2,individual1,11,,,0.8955223880597017
12,2021,10,06,34,Y,N,2,individual1,12,,,0.8955223880597017
13,2021,10,06,34,Y,N,2,individual1,13,161.6613900187479,0.019337378992872998,3.7032880709235783
0,2021,10,06,34,Y,N,2,individual2,0,,,3.4938409854423305
1,2021,10,06,34,Y,N,2,individual2,1,,,0.6382978723404256
2,2021,10,06,34,Y,N,2,individual2,2,,,0.6382978723404256
3,2021,10,06,34,Y,N,2,individual2,3,,,0.6382978723404256
4,2021,10,06,34,Y,N,2,individual2,4,,,0.6382978723404256
5,2021,10,06,34,Y,N,2,individual2,5,-21.4587381510927,0.029873659507706082,2.5845464725643894
6,2021,10,06,34,Y,N,2,individual2,6,-53.297013006227985,0.021783426482805842,2.235294117647059
7,2021,10,06,34,Y,N,2,individual2,7,-47.89338220407703,0.008443947320669788,1.7647058823529413
8,2021,10,06,34,Y,N,2,individual2,8,-39.1944716660273,0.014641379525950127,2.0
9,2021,10,06,34,Y,N,2,individual2,9,-56.87831765950385,0.007133483935943024,1.5087719298245612
10,2021,10,06,34,Y,N,2,individual2,10,,,0.8333333333333335
11,2021,10,06,34,Y,N,2,individual2,11,,,0.8333333333333335
12,2021,10,06,34,Y,N,2,individual2,12,,,0.8333333333333335
13,2021,10,06,34,Y,N,2,individual2,13,,,1.954614797864226
14,2021,10,06,34,Y,N,2,individual2,14,-123.46528563909156,0.007932362762650538,3.8069482005408775
0,2021,10,06,34,Y,N,2,individual3,0,-51.684860677354465,0.01805205776242187,2.727272727272727
1,2021,10,06,34,Y,N,2,individual3,1,-20.786772434012505,0.012013699260015215,3.0899017879627295
2,2021,10,06,34,Y,N,2,individual3,2,-55.1868950487047,0.008783054900658765,3.9572615749901074
3,2021,10,06,34,Y,N,2,individual3,3,-134.23434226260022,0.01830586588515494,1.4285714285714284
4,2021,10,06,34,Y,N,2,individual3,4,,,1.4285714285714284
5,2021,10,06,34,Y,N,2,individual3,5,,,4.5394736842105265
6,2021,10,06,34,Y,N,2,individual3,6,165.98673645197553,0.017881588393568452,3.75
7,2021,10,06,34,Y,N,2,individual3,7,171.96863436731863,0.012172844792098592,3.75
8,2021,10,06,34,Y,N,2,individual3,8,-167.35790416217927,0.01329498769083282,3.3991228070175445
9,2021,10,06,34,Y,N,2,individual3,9,-160.83792148285715,0.01277832904346644,2.907268170426065
10,2021,10,06,34,Y,N,2,individual3,10,-178.88611011409748,0.0068106626115688315,2.661000326904217
11,2021,10,06,34,Y,N,2,individual3,11,-150.85313510745476,0.004629707823724003,3.0282227307398935
12,2021,10,06,34,Y,N,2,individual3,12,-28.203614393126585,0.004111015323563811,3.4571723426212593
13,2021,10,06,34,Y,N,2,individual3,13,145.27448817427057,0.012381169593352868,3.5294117647058827
0,2021,10,06,34,Y,N,2,individual4,0,-175.2456840033604,0.004917625066768796,3.4962406015037595
1,2021,10,06,34,Y,N,2,individual4,1,,,2.1428571428571432
2,2021,10,06,34,Y,N,2,individual4,2,-176.51512765969912,0.009474266857260211,2.0009701673538687
3,2021,10,06,34,Y,N,2,individual4,3,-143.58089426946063,0.004427638619966312,2.030984719864177
4,2021,10,06,34,Y,N,2,individual4,4,3.8314067297810905,0.004280224118658042,3.75
5,2021,10,06,34,Y,N,2,individual4,5,18.14586146736002,0.008385742893130724,2.9352226720647776
6,2021,10,06,34,Y,N,2,individual4,6,9.81333068247131,0.006811676411378982,1.5384615384615388
7,2021,10,06,34,Y,N,2,individual4,7,20.657822595500793,0.0073794509507926,2.1671826625387
8,2021,10,06,34,Y,N,2,individual4,8,5.495200679251809,0.00866254442677509,3.095975232198142
9,2021,10,06,34,Y,N,2,individual4,9,7.147096593334032,0.00998190829578069,2.2986036519871105
10,2021,10,06,34,Y,N,2,individual4,10,14.02411494824219,0.011984884765640825,1.2244897959183672
11,2021,10,06,34,Y,N,2,individual4,11,15.639136930920964,0.01321026676410835,1.2244897959183672
12,2021,10,06,34,Y,N,2,individual4,12,,,2.5589183041637713
13,2021,10,06,34,Y,N,2,individual4,13,,,4.0468819106590015
0,2021,10,06,34,Y,N,2,individual5,0,170.6922990663955,0.004715389427480792,2.8571428571428568
1,2021,10,06,34,Y,N,2,individual5,1,-166.67286772267798,0.0031137112775112066,2.4481203007518797
2,2021,10,06,34,Y,N,2,individual5,2,33.997996948253046,0.002284632147712993,2.7473684210526317
3,2021,10,06,34,Y,N,2,individual5,3,2.333532013372265,0.003705450480946983,2.590643274853801
4,2021,10,06,34,Y,N,2,individual5,4,1.6427377060595831,0.008369947611644911,2.2629036359013477
5,2021,10,06,34,Y,N,2,individual5,5,-16.812804470296378,0.009178651273939676,2.608695652173913
6,2021,10,06,34,Y,N,2,individual5,6,-44.379769079491,0.005429800604814718,2.9588100686498855
7,2021,10,06,34,Y,N,2,individual5,7,-23.809209660186852,0.004854346517987214,2.8796992481203003
8,2021,10,06,34,Y,N,2,individual5,8,-88.04949013618132,0.004419241686367472,2.8571428571428568
9,2021,10,06,34,Y,N,2,individual5,9,-74.6248872629686,0.009558723644178093,1.7543859649122808
10,2021,10,06,34,Y,N,2,individual5,10,,,1.1111111111111112
11,2021,10,06,34,Y,N,2,individual5,11,,,1.1111111111111112
12,2021,10,06,34,Y,N,2,individual5,12,,,1.9883040935672516
13,2021,10,06,34,Y,N,2,individual5,13,3.7163536072061727,0.009084068677900094,2.40829346092504
0,2021,10,06,34,Y,N,2,individual6,0,-43.09552054097706,0.010518727399126446,1.2765957446808511
1,2021,10,06,34,Y,N,2,individual6,1,-25.29345182986656,0.007633100619616206,1.2765957446808511
2,2021,10,06,34,Y,N,2,individual6,2,-11.203286461660607,0.01839158049828346,5.02575587905935
3,2021,10,06,34,Y,N,2,individual6,3,-3.9038843828321395,0.010437053594714904,3.0581717451523542
4,2021,10,06,34,Y,N,2,individual6,4,-14.656216413244294,0.014634498492390303,3.157894736842105
5,2021,10,06,34,Y,N,2,individual6,5,-4.666936622463033,0.022665754543883677,3.157894736842105
6,2021,10,06,34,Y,N,2,individual6,6,3.025392369939344,0.01362435738977981,3.157894736842105
7,2021,10,06,34,Y,N,2,individual6,7,-7.917473499812181,0.013772024836869555,3.0997229916897506
8,2021,10,06,34,Y,N,2,individual6,8,-2.7893787456349814,0.015813470699462828,3.3157894736842106
9,2021,10,06,34,Y,N,2,individual6,9,7.1015481186984015,0.008495802305622453,4.323886639676112
10,2021,10,06,34,Y,N,2,individual6,10,-140.47951447146184,0.008988537473039173,4.615384615384615
11,2021,10,06,34,Y,N,2,individual6,11,-165.81074463770952,0.011356451824359005,5.012881854987118
12,2021,10,06,34,Y,N,2,individual6,12,-156.07641611318078,0.020330957343831165,5.0854408749145605
13,2021,10,06,34,Y,N,2,individual6,13,-159.9035915382691,0.017493596221705442,4.2857142857142865
14,2021,10,06,34,Y,N,2,individual6,14,-138.00589279843845,0.011855545129881523,4.077501445922499
0,2021,10,06,34,Y,N,2,individual7,0,,,3.6842105263157894
1,2021,10,06,34,Y,N,2,individual7,1,,,3.4210526315789473
2,2021,10,06,34,Y,N,2,individual7,2,,,3.75
