,Year,Month,Day,Trial,Ablation,Darkness,Flow,Fish,Tailbeat_Num,X_Distance,Y_Distance,Distance,Angle,Heading_Diff,Fish1_Speed,Fish2_Speed,Speed_Diff,Spatial_Auto,Sync
0,2021,08,03,08,Y,N,0,individual4xindividual8,0,,,,,,1.129097625355693,,,,0.6074136148674283
1,2021,08,03,08,Y,N,0,individual4xindividual8,1,4.008750419771425,0.548416770583772,4.046089579121439,7.784758209983671,91.92372890934472,0.8352828646283886,2.164622648714674,-1.3293397840862853,0.042036235837964564,0.5690105010247178
2,2021,08,03,08,Y,N,0,individual4xindividual8,2,,,,,,0.5951631038502064,,,,0.5690105010247178
3,2021,08,03,08,Y,N,0,individual4xindividual8,3,,,,,,0.6575200423499546,,,,0.549846622788859
4,2021,08,03,08,Y,N,0,individual4xindividual8,4,2.188727570220889,1.8638991000818106,2.8748301222734574,40.64387597566978,168.4737493992868,1.0726302053237826,1.945453471810287,-0.8728232664865042,-0.8191583885741334,0.5934961188605437
5,2021,08,03,08,Y,N,0,individual4xindividual8,5,1.3321685301336241,1.9621472593400597,2.371643915096465,56.09554427715691,170.84676447300174,1.1722309044335986,1.5620858918686393,-0.38985498743504055,-0.8753171966526394,0.6955754735876427
6,2021,08,03,08,Y,N,0,individual4xindividual8,6,0.5446146713935096,1.9519468230160895,2.0264998248654416,74.57395415060596,174.35904336831103,1.1001614297673195,1.2938467507322782,-0.19368532096495877,-0.9598059676986764,0.2703089256673441
7,2021,08,03,08,Y,N,0,individual4xindividual8,7,-0.16586910280883557,1.8420313607853835,1.8494842776794453,95.32742734057538,168.91508490922388,0.8430636765721139,1.6437106868930276,-0.8006470103209138,-0.8484677808715574,0.4856032880509775
8,2021,08,03,08,Y,N,0,individual4xindividual8,8,-0.8492915189528225,1.626746113989637,1.8351019054934192,117.53968973935575,167.63537157520003,1.087846394218474,1.4339086994067298,-0.3460623051882562,-0.8912287435859794,0.4769101867752815
9,2021,08,03,08,Y,N,0,individual4xindividual8,9,-1.5760455356545813,1.4443566124959015,2.137775842907149,137.27259649769388,169.8433979313877,1.3635390478174283,1.26729348734282,0.09624556047460808,-0.6504603012817752,0.4030188259318663
10,2021,08,03,08,Y,N,0,individual4xindividual8,10,-2.141186528497409,1.2217365694027815,2.465222098480148,150.20435052192093,166.84160079280105,0.7636971632191651,1.465438173448689,-0.7017410102295237,-0.5760848484474378,0.4030188259318663
0,2021,08,03,08,Y,N,0,individual5xindividual6,0,-3.2259419143714214,2.5782754295064088,4.129673767417326,141.35960309709046,74.52021401236598,0.2302069256673778,0.9291413031650144,-0.6989343774976365,,0.26552647830793247
1,2021,08,03,08,Y,N,0,individual5xindividual6,1,-3.3526212162530684,2.2306493046086717,4.026892764877326,146.38425111529534,26.34024721478583,0.12561783360428913,1.7223574053519757,-1.5967395717476867,,0.3664058714714165
2,2021,08,03,08,Y,N,0,individual5xindividual6,2,-3.2527008453776927,1.8459263703299702,3.7399875607012834,150.44385908142434,24.417115230974254,0.49033888353682614,1.8779710988483378,-1.387632215311512,0.5572972383994382,0.3664058714714165
3,2021,08,03,08,Y,N,0,individual5xindividual6,3,-3.3412091628033815,1.3265317698391055,3.594908233320253,158.34517267349875,31.71493837164757,1.7515828800548634,1.4254400401679275,0.32614283988693565,0.3276523362869465,0.3664058714714165
4,2021,08,03,08,Y,N,0,individual5xindividual6,4,-3.4202904281428967,1.0088080174529588,3.5659613330662028,163.5719984695769,40.64072781440682,0.8242797534405678,1.2765357748652557,-0.4522560214246879,0.8047345082493202,0.7137994590300734
5,2021,08,03,08,Y,N,0,individual5xindividual6,5,-3.341819470957186,0.867414780474502,3.452559308376062,165.4533937915995,21.79177544506305,0.6648093501790149,1.0391851406115908,-0.37437579043257585,0.8751494203302678,0.7546692928605037
6,2021,08,03,08,Y,N,0,individual5xindividual6,6,-3.2525238614671395,0.7089116443959641,3.3288837752275615,167.70850184884287,19.167741565969656,0.8595044572258235,1.1252908195775628,-0.2657863623517392,0.7589669271343539,0.6069553956022533
