pt1filt_X,pt1filt_Y,pt1filt_Z,pt2filt_X,pt2filt_Y,pt2filt_Z
-0.366253,0.370284,0.607841,-1.188237,-0.048233,0.216462
-0.339099,0.379208,0.624745,-1.162538,-0.040883,0.236212
-0.310493,0.387271,0.637316,-1.135188,-0.034309,0.251322
-0.280345,0.394325,0.645392,-1.106078,-0.028662,0.261588
-0.248576,0.400249,0.648852,-1.075122,-0.024059,0.266856
-0.215133,0.404954,0.647619,-1.042257,-0.020584,0.267022
-0.179985,0.408384,0.641666,-1.007455,-0.018280,0.262040
-0.143138,0.410520,0.631015,-0.970717,-0.017159,0.251922
-0.104633,0.411377,0.615742,-0.932087,-0.017192,0.236741
-0.064549,0.411015,0.595976,-0.891643,-0.018315,0.216630
-0.023000,0.409527,0.571899,-0.849502,-0.020434,0.191782
0.019863,0.407045,0.543742,-0.805817,-0.023428,0.162447
0.063861,0.403730,0.511782,-0.760773,-0.027157,0.128925
0.108787,0.399764,0.476345,-0.714578,-0.031469,0.091569
0.154414,0.395344,0.437793,-0.667466,-0.036204,0.050774
0.200501,0.390670,0.396529,-0.619680,-0.041196,0.006976
0.246803,0.385936,0.352986,-0.571475,-0.046278,-0.039353
0.293077,0.381324,0.307623,-0.523102,-0.051288,-0.087711
0.339099,0.376999,0.260923,-0.474803,-0.056068,-0.137573
0.384672,0.373106,0.213382,-0.426798,-0.060475,-0.188396
0.429634,0.369766,0.165502,-0.379280,-0.064381,-0.239628
0.473871,0.367076,0.117788,-0.332404,-0.067683,-0.290713
0.517317,0.365104,0.070740,-0.286288,-0.070303,-0.341100
0.559950,0.363883,0.024843,-0.241008,-0.072197,-0.390250
0.601792,0.363408,-0.019430,-0.196609,-0.073357,-0.437642
0.642893,0.363629,-0.061632,-0.153107,-0.073814,-0.482777
0.683320,0.364448,-0.101337,-0.110502,-0.073641,-0.525187
0.723145,0.365717,-0.138151,-0.068788,-0.072944,-0.564435
0.762430,0.367251,-0.171710,-0.027961,-0.071858,-0.600123
0.801214,0.368836,-0.201683,0.011966,-0.070535,-0.631891
0.839505,0.370254,-0.227776,0.050963,-0.069132,-0.659422
0.877274,0.371301,-0.249733,0.088975,-0.067795,-0.682445
0.914446,0.371813,-0.267337,0.125921,-0.066646,-0.700732
0.950904,0.371684,-0.280409,0.161690,-0.065768,-0.714106
0.986490,0.370885,-0.288815,0.196152,-0.065199,-0.722432
1.021011,0.369467,-0.292456,0.229156,-0.064922,-0.725627
1.054251,0.367572,-0.291281,0.260543,-0.064872,-0.723649
1.085985,0.365415,-0.285275,0.290157,-0.064941,-0.716504
1.115991,0.363277,-0.274469,0.317858,-0.064986,-0.704243
1.144071,0.361474,-0.258935,0.343529,-0.064845,-0.686959
1.170062,0.360330,-0.238784,0.367089,-0.064351,-0.664784
1.193852,0.360146,-0.214168,0.388499,-0.063344,-0.637892
1.215388,0.361174,-0.185277,0.407764,-0.061679,-0.606489
1.234678,0.363599,-0.152335,0.424942,-0.059240,-0.570817
1.251796,0.367525,-0.115596,0.440138,-0.055942,-0.531147
1.266879,0.372975,-0.075346,0.453507,-0.051744,-0.487775
1.280120,0.379890,-0.031890,0.465249,-0.046648,-0.441020
1.291762,0.388136,0.014446,0.475601,-0.040703,-0.391221
1.302088,0.397521,0.063321,0.484836,-0.034002,-0.338728
1.311411,0.407806,0.114385,0.493245,-0.026682,-0.283901
1.320060,0.418725,0.167287,0.501139,-0.018909,-0.227100
1.328373,0.430000,0.221675,0.508829,-0.010876,-0.168687
1.336681,0.441356,0.277205,0.516623,-0.002788,-0.109015
1.345299,0.452527,0.333545,0.524815,0.005144,-0.048423
1.354519,0.463271,0.390379,0.533672,0.012713,0.012763
1.364600,0.473366,0.447410,0.543432,0.019722,0.074241
1.375766,0.482622,0.504366,0.554295,0.025989,0.135734
1.388201,0.490874,0.561000,0.566423,0.031343,0.196992
1.402055,0.497987,0.617092,0.579939,0.035628,0.257795
1.417443,0.503850,0.672452,0.594930,0.038698,0.317953
1.434451,0.508379,0.726920,0.611455,0.040422,0.377309
1.453141,0.511508,0.780363,0.629547,0.040685,0.435734
1.473558,0.513189,0.832676,0.649222,0.039393,0.493128
1.495728,0.513390,0.883779,0.670484,0.036469,0.549418
1.519670,0.512091,0.933617,0.693329,0.031861,0.604550
1.545393,0.509282,0.982153,0.717752,0.025533,0.658493
1.572900,0.504958,1.029366,0.743749,0.017466,0.711228
1.602195,0.499118,1.075247,0.771318,0.007652,0.762745
1.633276,0.491759,1.119792,0.800455,-0.003912,0.813041
