pt1_X,pt1_Y,pt1_Z,pt2_X,pt2_Y,pt2_Z
-1.546726,0.277895,0.168424,-2.349030,-0.161177,-0.232165
-1.562616,0.273260,0.157583,-2.364598,-0.163808,-0.246098
-1.578622,0.268131,0.145293,-2.380581,-0.166205,-0.258657
-1.594950,0.263012,0.133622,-2.394829,-0.167923,-0.274164
-1.609228,0.259623,0.121375,-2.407680,-0.168971,-0.287605
-1.611777,0.259407,0.090072,-2.416222,-0.169375,-0.302616
-1.618391,0.259453,0.072374,-2.419595,-0.168053,-0.326932
-1.621015,0.261514,0.051301,-2.419738,-0.165205,-0.352265
-1.618125,0.265318,0.023003,-2.415647,-0.162067,-0.380089
-1.612700,0.269231,-0.007339,-2.407873,-0.157915,-0.412868
-1.604322,0.273203,-0.041395,-2.396336,-0.153615,-0.452585
-1.591619,0.276227,-0.081435,-2.382011,-0.149093,-0.496152
-1.576965,0.278833,-0.125663,-2.365883,-0.145286,-0.541864
-1.561312,0.279308,-0.170843,-2.349203,-0.142648,-0.585387
-1.545382,0.277669,-0.213164,-2.331015,-0.140425,-0.633129
-1.525365,0.275549,-0.263374,-2.311615,-0.138796,-0.683648
-1.504367,0.272847,-0.319257,-2.290697,-0.137986,-0.738278
-1.484201,0.269327,-0.372616,-2.267563,-0.138046,-0.794103
-1.462855,0.265102,-0.423611,-2.242510,-0.138162,-0.850994
-1.440447,0.261431,-0.475928,-2.216262,-0.138080,-0.908263
-1.416891,0.257795,-0.528789,-2.188972,-0.137060,-0.966019
-1.392913,0.254029,-0.581390,-2.162390,-0.135235,-1.026137
-1.368794,0.251314,-0.633117,-2.136042,-0.133969,-1.083017
-1.345214,0.248272,-0.683356,-2.110308,-0.132499,-1.139883
-1.321200,0.245751,-0.733917,-2.084566,-0.131559,-1.192931
-1.299485,0.243673,-0.778848,-2.058804,-0.131030,-1.241320
-1.277926,0.241964,-0.822297,-2.032879,-0.130640,-1.287011
-1.253279,0.240484,-0.871045,-2.006229,-0.129184,-1.330342
-1.229798,0.239816,-0.910486,-1.979360,-0.127879,-1.374370
-1.206236,0.239672,-0.945125,-1.953323,-0.124827,-1.410684
-1.183221,0.240842,-0.973419,-1.927922,-0.121502,-1.440380
-1.159587,0.243039,-0.998610,-1.902237,-0.116418,-1.471360
-1.136736,0.245928,-1.015560,-1.876448,-0.111150,-1.497472
-1.112258,0.249985,-1.029081,-1.850116,-0.105920,-1.513892
-1.088206,0.255652,-1.033929,-1.826082,-0.099409,-1.518870
-1.064575,0.261403,-1.025977,-1.802386,-0.092123,-1.512509
-1.037672,0.268497,-1.014551,-1.779037,-0.082025,-1.496270
-1.008078,0.277822,-0.999979,-1.754163,-0.070896,-1.475657
-0.979513,0.289772,-0.971248,-1.727078,-0.059184,-1.452367
-0.949919,0.303919,-0.939541,-1.702530,-0.046690,-1.410706
-0.920836,0.318611,-0.899676,-1.677553,-0.034280,-1.366869
-0.892561,0.332314,-0.854499,-1.650650,-0.022576,-1.325056
-0.864280,0.345520,-0.810263,-1.625494,-0.011648,-1.280309
-0.837946,0.356146,-0.760955,-1.602289,-0.002047,-1.234437
-0.813249,0.364374,-0.711209,-1.583392,0.005451,-1.174602
-0.794381,0.369449,-0.662354,-1.566869,0.009503,-1.122976
-0.774867,0.371505,-0.616412,-1.551663,0.010288,-1.076181
-0.754558,0.371316,-0.580357,-1.538752,0.007754,-1.029825
-0.748175,0.368054,-0.523429,-1.527573,0.002709,-0.983419
-0.738239,0.362376,-0.473807,-1.518851,-0.005861,-0.932790
-0.731022,0.353755,-0.421277,-1.510937,-0.015989,-0.882427
-0.723468,0.343837,-0.370200,-1.504526,-0.027322,-0.830092
-0.713652,0.333125,-0.323446,-1.497312,-0.039651,-0.779363
-0.703780,0.322490,-0.276720,-1.490949,-0.051836,-0.726157
-0.694111,0.311631,-0.225819,-1.485091,-0.063715,-0.669199
-0.685605,0.301171,-0.168862,-1.478051,-0.075245,-0.610855
-0.674790,0.291415,-0.114030,-1.470039,-0.086413,-0.551452
-0.662570,0.283408,-0.059700,-1.459142,-0.096830,-0.497148
-0.651251,0.278153,-0.002812,-1.447689,-0.103926,-0.444885
