,Year,Month,Day,Trial,Ablation,Darkness,Flow,Fish,Tailbeat_Num,X_Distance,Y_Distance,Z_Distance,Distance,Angle,Yaw Heading_Diff,Pitch Heading_Diff,Speed_Diff,Sync
1,2021,08,03,21,Y,N,0,individual5xindividual8,1,,,,,,,,,0.35617656620494037
2,2021,08,03,21,Y,N,0,individual5xindividual8,2,,,,,,,,,0.37985609058632913
3,2021,08,03,21,Y,N,0,individual5xindividual8,3,,,,,,,,,0.37985609058632913
4,2021,08,03,21,Y,N,0,individual5xindividual8,4,,,,,,,,,0.7101696843698537
5,2021,08,03,21,Y,N,0,individual5xindividual8,5,,,,,,,,,0.9095467500035931
6,2021,08,03,21,Y,N,0,individual5xindividual8,6,,,,,,,,,1.0
7,2021,08,03,21,Y,N,0,individual5xindividual8,7,-1.044730360452533,1.3173292615111105,-2.540030500887664,1.6813143398200967,128.47253196454014,24.08911392804543,36.03419594445748,0.8116639671380979,
8,2021,08,03,21,Y,N,0,individual5xindividual8,8,-0.8398987249671979,1.1479364270513062,-2.6773012452344185,1.4223881006085657,126.05493128085104,16.450260701435692,38.85695197229281,-0.18633449602636445,
9,2021,08,03,21,Y,N,0,individual5xindividual8,9,-0.4887622766518317,0.9930603334992364,-2.163386743919824,1.106823106484273,115.774022992211,34.3258499134125,61.076619478816525,0.7611713598157754,0.025967439468930154
10,2021,08,03,21,Y,N,0,individual5xindividual8,10,-0.006959734517775252,0.7889685501542004,-1.452651572966541,0.7889992465376497,90.22316997983123,57.91609253271741,92.73521474463834,0.7979608463631442,0.025967439468930154
11,2021,08,03,21,Y,N,0,individual5xindividual8,11,,,,,,,,,0.2639229109506798
12,2021,08,03,21,Y,N,0,individual5xindividual8,12,0.7245361351773009,0.6585277815454362,-0.788821932931048,0.9790870493703886,42.35673156537723,59.65375306609966,69.77494312648375,0.25787472945830947,0.3273777033458131
13,2021,08,03,21,Y,N,0,individual5xindividual8,13,0.9293317246547976,0.6520592646946732,-0.3823166796348804,1.1352703374632926,35.11637948681131,46.9439056623691,63.900005171805795,0.16425235589294268,0.3273777033458131
0,2021,08,03,21,Y,N,0,individual6xindividual7,0,-1.581555279217352,0.28613216792150625,-0.9005170956318505,1.6072301386981693,169.63740145873714,52.267621555287526,12.661028879273202,0.38307003289361463,1.0
1,2021,08,03,21,Y,N,0,individual6xindividual7,1,-1.29272166383556,0.4119141897352318,-1.160709030195121,1.3567618066024012,162.26314070990253,58.48696454195254,20.38413752602574,0.5264753406059745,1.0
2,2021,08,03,21,Y,N,0,individual6xindividual7,2,,,,,,,,,1.0
3,2021,08,03,21,Y,N,0,individual6xindividual7,3,,,,,,,,,0.6369526550615857
4,2021,08,03,21,Y,N,0,individual6xindividual7,4,,,,,,,,,0.27348174810871295
5,2021,08,03,21,Y,N,0,individual6xindividual7,5,,,,,,,,,0.27348174810871295
6,2021,08,03,21,Y,N,0,individual6xindividual7,6,,,,,,,,,0.27348174810871295
7,2021,08,03,21,Y,N,0,individual6xindividual7,7,,,,,,,,,0.23996204545807912
8,2021,08,03,21,Y,N,0,individual6xindividual7,8,-1.1401529458176993,0.9181757925890919,2.2561630197158085,1.4638973754855171,141.07521106254416,16.798294280862795,32.70676703062843,-0.5376827440128041,0.21558407989398182
9,2021,08,03,21,Y,N,0,individual6xindividual7,9,-1.4718711279263275,0.8524391575448226,1.90590692163839,1.7008989195536712,149.85948491935991,16.519152433564933,24.24675454402937,-0.7491284865071797,0.545864467307042
10,2021,08,03,21,Y,N,0,individual6xindividual7,10,-1.7823142850012537,0.7441512796067438,1.6091265292414676,1.9314257266226635,157.2833091923268,34.917443750183054,39.86764322444992,-0.26997281545268714,1.0
11,2021,08,03,21,Y,N,0,individual6xindividual7,11,-2.006088794963364,0.5710421070141957,0.9875989499768228,2.085780751004471,164.02161710761504,40.92512305058375,48.85145995870805,0.8731412727116833,1.0
0,2021,08,03,21,Y,N,0,individual6xindividual8,0,,,,,,,,,0.13621318364612084
1,2021,08,03,21,Y,N,0,individual6xindividual8,1,,,,,,,,,0.8163122071052766
2,2021,08,03,21,Y,N,0,individual6xindividual8,2,,,,,,,,,0.9586986019100564
3,2021,08,03,21,Y,N,0,individual6xindividual8,3,-1.5093324787781988,0.9726960043736973,-0.34774948842481024,1.7956118869118955,147.1956903381728,27.604171091065588,24.213770350822266,-3.363238327831047,0.996668307191331
4,2021,08,03,21,Y,N,0,individual6xindividual8,4,,,,,,,,,0.996668307191331
5,2021,08,03,21,Y,N,0,individual6xindividual8,5,,,,,,,,,0.9984218297222093
6,2021,08,03,21,Y,N,0,individual6xindividual8,6,,,,,,,,,1.0
7,2021,08,03,21,Y,N,0,individual6xindividual8,7,,,,,,,,,
8,2021,08,03,21,Y,N,0,individual6xindividual8,8,-1.5493759792385622,0.9237508955742247,-0.12986132317903354,1.8038518902935563,149.17245300736465,39.367889359204334,40.90623023358179,0.4270256688489412,
9,2021,08,03,21,Y,N,0,individual6xindividual8,9,-1.3879308108260695,0.9785315678280069,-0.06571927369256843,1.698197857988358,144.76490990194665,55.031540496054824,51.04251815037582,-0.4997520846168997,
10,2021,08,03,21,Y,N,0,individual6xindividual8,10,-1.2298429646877507,0.9679370466463835,-0.0738794782194063,1.5650609713562214,141.7884012984159,54.499586361617844,21.346352388105693,0.9767193548985869,0.6925386919053942
11,2021,08,03,21,Y,N,0,individual6xindividual8,11,,,,,,,,,0.08822328160277611
0,2021,08,03,21,Y,N,0,individual7xindividual8,0,,,,,,,,,0.4501277461460128
1,2021,08,03,21,Y,N,0,individual7xindividual8,1,,,,,,,,,0.6686744787690576
