,Year,Month,Day,Trial,Ablation,Darkness,Flow,Fish,Tailbeat_Num,X,Y,Z,Yaw Heading,Pitch Heading,Speed,TB_Frequency,Fish_Length
11,2021,08,03,21,Y,N,0,individual5,11,0.17281827908165567,0.0767654431742539,0.08290250975610895,18.920220271531342,85.34264193023014,2.0939159024321308,3.614121298331825,3.614121298331825
12,2021,08,03,21,Y,N,0,individual5,12,0.2005412207966413,0.08189282612716113,0.07016089516707391,14.818334323068818,89.48338948465486,2.3030264430405847,1.0909090909090906,1.0909090909090906
13,2021,08,03,21,Y,N,0,individual5,13,0.22351780083606226,0.08672217338760395,0.059833755237465945,16.734570521947777,92.77409000788418,2.272108877246557,1.0909090909090906,1.0909090909090906
14,2021,08,03,21,Y,N,0,individual5,14,0.24231093679922208,0.09122854675140704,0.04725755022161242,18.233033340377258,90.58730729426513,1.592493036691944,1.562998405103668,1.562998405103668
15,2021,08,03,21,Y,N,0,individual5,15,0.2543816223960152,0.0936872214324785,0.02967839084129134,17.618565602391715,100.0832071584359,1.2804009662802027,4.210526315789474,4.210526315789474
16,2021,08,03,21,Y,N,0,individual5,16,0.2614828584845953,0.09556362182457163,0.019384019534886884,17.668678196066253,96.10124534567994,0.7617243475804933,5.824561403508771,5.824561403508771
17,2021,08,03,21,Y,N,0,individual5,17,0.2681337568710284,0.09738904452726571,0.019661685073175346,17.7950908094552,91.308151853817,1.5307473383262369,3.0,3.0
0,2021,08,03,21,Y,N,0,individual6,0,-0.12496267354247056,0.03831825207492601,0.008844573168937326,34.666833764621764,100.48919525582518,1.8136523106125768,3.157894736842105,3.157894736842105
1,2021,08,03,21,Y,N,0,individual6,1,-0.10712942211424793,0.0514715814763971,-0.007625361819916337,31.54555545446572,97.74393749526685,1.7543649885292003,2.9555582319643503,2.9555582319643503
2,2021,08,03,21,Y,N,0,individual6,2,-0.09191367593884148,0.06132611539929189,-0.018118861725663363,31.71651429247073,97.97585137965855,1.6566961982349306,2.6479241582216404,2.6479241582216404
3,2021,08,03,21,Y,N,0,individual6,3,-0.07752522008880403,0.0690586789380352,-0.02074650193615016,32.429303296521425,102.33440425616732,1.2910596886791965,3.4962406015037586,3.4962406015037586
4,2021,08,03,21,Y,N,0,individual6,4,,,,,,,6.674641148325357,6.674641148325357
5,2021,08,03,21,Y,N,0,individual6,5,,,,,,,1.8181818181818183,1.8181818181818183
6,2021,08,03,21,Y,N,0,individual6,6,,,,,,,1.6423121686279583,1.6423121686279583
7,2021,08,03,21,Y,N,0,individual6,7,,,,,,,1.6216216216216217,1.6216216216216217
