,Year,Month,Day,Trial,Ablation,Darkness,Flow,Fish,Tailbeat_Num,X_Distance,Y_Distance,Distance,Angle,Heading_Diff,Speed_Diff,Sync
1,2021,10,06,39,Y,N,0,individual6xindividual3,1,-0.7884074175074992,-0.25323070629942734,0.8280773192122527,-161.86314934175542,133.88018368263127,-0.06252683749453354,0.12278051979162838
2,2021,10,06,39,Y,N,0,individual6xindividual3,2,-0.481307881101718,-0.2625402236160349,0.5482560035485095,-150.65346620385245,135.37323340717901,-0.057469179057158155,0.29506169454333675
3,2021,10,06,39,Y,N,0,individual6xindividual3,3,-0.22972566130351785,-0.30400599945459517,0.381042684178198,-126.6299451175228,141.61616885950912,0.11031313820963329,0.38580235787010364
4,2021,10,06,39,Y,N,0,individual6xindividual3,4,0.09481947095718583,-0.35651949822743384,0.3689131126551912,-75.51650915549004,172.94182630634236,-0.09186738239054708,0.5105707699444081
5,2021,10,06,39,Y,N,0,individual6xindividual3,5,0.43725661303517865,-0.37484210526315787,0.575933980175777,-41.20443888350426,172.7080582639341,0.058766120230748155,0.8046288386047432
6,2021,10,06,39,Y,N,0,individual6xindividual3,6,,,,,,,0.7143064626562118
7,2021,10,06,39,Y,N,0,individual6xindividual3,7,0.9875551262376876,-0.23916591193692707,1.016103075869253,-13.887865550124479,155.04154001409057,0.3447016831309318,0.4772095734577373
8,2021,10,06,39,Y,N,0,individual6xindividual3,8,1.2825306790291793,-0.12369348241068992,1.2884816724509245,-5.5757842259494055,154.14125057962477,-0.2442167610324641,0.25652932453945804
9,2021,10,06,39,Y,N,0,individual6xindividual3,9,1.544225524952277,-0.06673493318789199,1.5456668538924316,-2.4816238321216115,153.69659186600606,-0.30130494075378694,0.19077173276987533
0,2021,10,06,39,Y,N,0,individual3xindividual7,0,0.10183337878374693,1.7993520589037364,1.80223135832102,86.77452475004183,153.09079332771861,0.6122047827376533,0.3606975267373993
