,Year,Month,Day,Trial,Individual,Tailbeat,Ablation,Darkness,Flow,Angle_to_NN,Angle_PS,Distance_to_NN,Acceleration
19,2024,01,19,06,individual2,20.0,Y,Y,2,-0.36046529134195326,-0.003564248370955399,0.6328695382920404,-2.667249556528289e-05
20,2024,01,19,06,individual2,21.0,Y,Y,2,-0.3123810136625077,0.10022118139378663,0.49724818625516937,0.0017096043849633242
21,2024,01,19,06,individual2,22.0,Y,Y,2,-0.29286797105680945,0.0020506982541342793,0.603551831293813,-0.0016578868256907685
22,2024,01,19,06,individual2,23.0,Y,Y,2,-0.19015327714790012,-0.10150283108536015,0.6927335486062344,0.00012374326270386644
23,2024,01,19,06,individual2,24.0,Y,Y,2,-0.007752881104196604,-0.00036456973059881086,0.7686495141671145,-3.9710548141654006e-05
24,2024,01,19,06,individual2,25.0,Y,Y,2,0.35848839012045114,-0.0005583870166981031,0.9214868260562867,-0.00017692630242640718
25,2024,01,19,06,individual2,26.0,Y,Y,2,-0.7653220353173665,0.10016264689969297,0.9424572320988212,0.0002064536210379523
26,2024,01,19,06,individual2,27.0,Y,Y,2,-1.0336169600556593,-0.01632648232061727,0.7076176722618746,-0.0002498226986232023
27,2024,01,19,06,individual2,28.0,Y,Y,2,-1.246901844367541,-0.00030584908845877244,0.6489061801249089,0.001507177952318769
28,2024,01,19,06,individual2,29.0,Y,Y,2,-1.4838574312093153,-0.00010592573883827505,0.7229348632628684,-0.001233857463300304
29,2024,01,19,06,individual2,30.0,Y,Y,2,-1.6302815536430653,-0.0021336370378940354,0.8424928209936542,-0.00018556186203258008
30,2024,01,19,06,individual2,31.0,Y,Y,2,,,0.9907364666295283,0.002526584689291674
0,2024,01,19,06,individual3,1.0,Y,Y,2,1.2859932238250718,-0.027811174092243266,1.3904282657382279,-0.0015150498133440142
1,2024,01,19,06,individual3,2.0,Y,Y,2,-2.5882275999048874,0.04432608661169356,1.3381361787281054,0.0013266695641162619
2,2024,01,19,06,individual3,3.0,Y,Y,2,1.4444593728103046,0.0027845008516720875,1.3779373976661726,-0.00040670186390445376
3,2024,01,19,06,individual3,4.0,Y,Y,2,-0.8923581005208111,-0.004160144677147451,0.7936258922235475,9.280722595623337e-05
4,2024,01,19,06,individual3,5.0,Y,Y,2,-2.4628340436672302,-0.0436397922410495,0.56055726284895,-0.0008316294859568848
5,2024,01,19,06,individual3,6.0,Y,Y,2,-2.573632560102151,0.002933073988986945,0.4986358187869915,0.0014423282896514928
6,2024,01,19,06,individual3,7.0,Y,Y,2,-2.77833528664712,0.04220229787389644,0.39570872403733776,-0.002634536092399649
7,2024,01,19,06,individual3,8.0,Y,Y,2,1.3810559217073533,-0.007926719644937115,0.44084198683930365,0.0034066741050710067
8,2024,01,19,06,individual3,9.0,Y,Y,2,1.9655708852242602,-0.0014034043678062195,0.7856936573916593,-0.0014271194218581761
9,2024,01,19,06,individual3,10.0,Y,Y,2,0.5398073480866079,0.0009729264940193457,0.748058139312154,0.000716726489378468
10,2024,01,19,06,individual3,11.0,Y,Y,2,1.2553311670558045,-0.0046172447145890845,0.8506109918048063,-0.00032783494686599825
11,2024,01,19,06,individual3,12.0,Y,Y,2,1.5245479881559056,-0.004957946258022589,0.7715089353271369,-0.0015629646337771794
12,2024,01,19,06,individual3,13.0,Y,Y,2,1.473955331921756,-0.0004531539571211921,0.9180536383704606,0.0001130436183424233
13,2024,01,19,06,individual3,14.0,Y,Y,2,1.1822620368123504,0.055187174842000246,0.8525115528741677,4.447571308325043e-05
14,2024,01,19,06,individual3,15.0,Y,Y,2,0.5226607703551678,-0.0007696236248922647,0.8569118968507144,0.00046704716309306743
15,2024,01,19,06,individual3,16.0,Y,Y,2,0.11383981090079388,0.0014918242909297255,1.132084102582794,-0.0003878431725447499
16,2024,01,19,06,individual3,17.0,Y,Y,2,2.1413222523117885,0.005712059849842547,1.2534847878768591,6.275082694341683e-05
17,2024,01,19,06,individual3,18.0,Y,Y,2,2.5708121250991725,0.004351656399461771,1.0860212551632291,0.0024537694369557443
18,2024,01,19,06,individual3,19.0,Y,Y,2,2.705833996800083,0.0005404830406594341,0.8667139985061068,-0.0021319262977227663
19,2024,01,19,06,individual3,20.0,Y,Y,2,2.78112736224784,0.0007737252036113639,0.6328695382920404,-0.00014441581402422713
20,2024,01,19,06,individual3,21.0,Y,Y,2,2.8292116399272857,-0.0008791359887241039,0.49724818625516937,-0.00017707421347683193
21,2024,01,19,06,individual3,22.0,Y,Y,2,2.586584402861885,-0.011799161355771866,0.5659561705021435,0.020240191397586444
22,2024,01,19,06,individual3,23.0,Y,Y,2,2.6999014107426094,-0.0034279133577956645,0.6883228876380504,-0.020357875802901118
23,2024,01,19,06,individual3,24.0,Y,Y,2,1.811063918342526,-0.00552217513728136,0.7686495141671145,-0.0001332896578003371
24,2024,01,19,06,individual3,25.0,Y,Y,2,-2.7831042634693417,-2.125357908619267e-05,0.9214868260562867,0.0007415631491952122
25,2024,01,19,06,individual3,26.0,Y,Y,2,-2.495303611122038,0.005688142809381706,1.1606054842184368,0.0013334932134604963
26,2024,01,19,06,individual3,27.0,Y,Y,2,-2.2768118106747735,0.004221331304590607,1.3528553483009365,-0.00015360212448973132
27,2024,01,19,06,individual3,28.0,Y,Y,2,-2.1474153601952977,-0.000194707811199842,1.3663552546382858,0.0007625343583369979
28,2024,01,19,06,individual3,29.0,Y,Y,2,-2.0759670996891075,0.0011711419754242354,1.352765112405847,-0.0024477910258188175
29,2024,01,19,06,individual3,30.0,Y,Y,2,-2.0118029184494,0.0067052796314628575,1.3178933264371282,0.0014734137031744631
30,2024,01,19,06,individual3,31.0,Y,Y,2,,,1.1798629153863955,-0.0012642393835104557
0,2024,01,19,06,individual4,1.0,Y,Y,2,2.2433958541911165,-0.04014856461469708,0.3509573755317456,-0.00012610396526084667
1,2024,01,19,06,individual4,2.0,Y,Y,2,2.6999418777456925,0.004917047897171443,0.4497291154856979,8.335722071461791e-05
